tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
746,0.746,C,submit,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#1,,UNBOUND
746,0.746,C,submit,rudder_controller1_bus,rudder1,0,RequestService,rudder1#2,,UNBOUND
746,0.746,D,respond,rudder_controller1_bus,rudder1,0,RequestService,rudder1#2,,,ACCEPTED_SERVICING
746,0.746,D,respond,rudder_bus1,rudder_controller1,0,RequestService,rudder_controller1#1,,,ACCEPTED_SERVICING
746,0.746,B,notify,rudder_controller1_bus,rudder1,1,RequestService,rudder1#2,,SERVICE,
746,0.746,B,service,rudder_controller1_bus,rudder1,1,RequestService,rudder1#2,,SERVICE,,0,_valueCurrent=,0.0,valueTarget=,-45.0,_speedCurrent=,0.1,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
746,0.746,B,notify,rudder_bus1,rudder_controller1,1,RequestService,rudder_controller1#1,,SERVICE,
747,0.747,B,notify,rudder_controller1_bus,rudder1,2,RequestService,rudder1#2,,SERVICE,
747,0.747,B,service,rudder_controller1_bus,rudder1,2,RequestService,rudder1#2,,SERVICE,,1,_valueCurrent=,-0.1,valueTarget=,-45.0,_speedCurrent=,0.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
747,0.747,B,notify,rudder_bus1,rudder_controller1,2,RequestService,rudder_controller1#1,,SERVICE,
748,0.748,B,notify,rudder_controller1_bus,rudder1,3,RequestService,rudder1#2,,SERVICE,
748,0.748,B,service,rudder_controller1_bus,rudder1,3,RequestService,rudder1#2,,SERVICE,,2,_valueCurrent=,-0.30000000000000004,valueTarget=,-45.0,_speedCurrent=,0.30000000000000004,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
748,0.748,B,notify,rudder_bus1,rudder_controller1,3,RequestService,rudder_controller1#1,,SERVICE,
749,0.749,B,notify,rudder_controller1_bus,rudder1,4,RequestService,rudder1#2,,SERVICE,
749,0.749,B,service,rudder_controller1_bus,rudder1,4,RequestService,rudder1#2,,SERVICE,,3,_valueCurrent=,-0.6000000000000001,valueTarget=,-45.0,_speedCurrent=,0.4,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
749,0.749,B,notify,rudder_bus1,rudder_controller1,4,RequestService,rudder_controller1#1,,SERVICE,
750,0.750,B,notify,rudder_controller1_bus,rudder1,5,RequestService,rudder1#2,,SERVICE,
750,0.750,B,service,rudder_controller1_bus,rudder1,5,RequestService,rudder1#2,,SERVICE,,4,_valueCurrent=,-1.0,valueTarget=,-45.0,_speedCurrent=,0.5,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
750,0.750,B,notify,rudder_bus1,rudder_controller1,5,RequestService,rudder_controller1#1,,SERVICE,
751,0.751,B,notify,rudder_controller1_bus,rudder1,6,RequestService,rudder1#2,,SERVICE,
751,0.751,B,service,rudder_controller1_bus,rudder1,6,RequestService,rudder1#2,,SERVICE,,5,_valueCurrent=,-1.5,valueTarget=,-45.0,_speedCurrent=,0.6,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
751,0.751,B,notify,rudder_bus1,rudder_controller1,6,RequestService,rudder_controller1#1,,SERVICE,
752,0.752,B,notify,rudder_controller1_bus,rudder1,7,RequestService,rudder1#2,,SERVICE,
752,0.752,B,service,rudder_controller1_bus,rudder1,7,RequestService,rudder1#2,,SERVICE,,6,_valueCurrent=,-2.1,valueTarget=,-45.0,_speedCurrent=,0.7,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
752,0.752,B,notify,rudder_bus1,rudder_controller1,7,RequestService,rudder_controller1#1,,SERVICE,
753,0.753,B,notify,rudder_controller1_bus,rudder1,8,RequestService,rudder1#2,,SERVICE,
753,0.753,B,service,rudder_controller1_bus,rudder1,8,RequestService,rudder1#2,,SERVICE,,7,_valueCurrent=,-2.8,valueTarget=,-45.0,_speedCurrent=,0.7999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
753,0.753,B,notify,rudder_bus1,rudder_controller1,8,RequestService,rudder_controller1#1,,SERVICE,
754,0.754,B,notify,rudder_controller1_bus,rudder1,9,RequestService,rudder1#2,,SERVICE,
754,0.754,B,service,rudder_controller1_bus,rudder1,9,RequestService,rudder1#2,,SERVICE,,8,_valueCurrent=,-3.5999999999999996,valueTarget=,-45.0,_speedCurrent=,0.8999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
754,0.754,B,notify,rudder_bus1,rudder_controller1,9,RequestService,rudder_controller1#1,,SERVICE,
755,0.755,B,notify,rudder_controller1_bus,rudder1,10,RequestService,rudder1#2,,SERVICE,
755,0.755,B,service,rudder_controller1_bus,rudder1,10,RequestService,rudder1#2,,SERVICE,,9,_valueCurrent=,-4.5,valueTarget=,-45.0,_speedCurrent=,0.9999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
755,0.755,B,notify,rudder_bus1,rudder_controller1,10,RequestService,rudder_controller1#1,,SERVICE,
756,0.756,B,notify,rudder_controller1_bus,rudder1,11,RequestService,rudder1#2,,SERVICE,
756,0.756,B,service,rudder_controller1_bus,rudder1,11,RequestService,rudder1#2,,SERVICE,,10,_valueCurrent=,-5.5,valueTarget=,-45.0,_speedCurrent=,1.0999999999999999,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
756,0.756,B,notify,rudder_bus1,rudder_controller1,11,RequestService,rudder_controller1#1,,SERVICE,
757,0.757,B,notify,rudder_controller1_bus,rudder1,12,RequestService,rudder1#2,,SERVICE,
757,0.757,B,service,rudder_controller1_bus,rudder1,12,RequestService,rudder1#2,,SERVICE,,11,_valueCurrent=,-6.6,valueTarget=,-45.0,_speedCurrent=,1.2,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
757,0.757,B,notify,rudder_bus1,rudder_controller1,12,RequestService,rudder_controller1#1,,SERVICE,
758,0.758,B,notify,rudder_controller1_bus,rudder1,13,RequestService,rudder1#2,,SERVICE,
758,0.758,B,service,rudder_controller1_bus,rudder1,13,RequestService,rudder1#2,,SERVICE,,12,_valueCurrent=,-7.8,valueTarget=,-45.0,_speedCurrent=,1.3,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
758,0.758,B,notify,rudder_bus1,rudder_controller1,13,RequestService,rudder_controller1#1,,SERVICE,
759,0.759,B,notify,rudder_controller1_bus,rudder1,14,RequestService,rudder1#2,,SERVICE,
759,0.759,B,service,rudder_controller1_bus,rudder1,14,RequestService,rudder1#2,,SERVICE,,13,_valueCurrent=,-9.1,valueTarget=,-45.0,_speedCurrent=,1.4000000000000001,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
759,0.759,B,notify,rudder_bus1,rudder_controller1,14,RequestService,rudder_controller1#1,,SERVICE,
760,0.760,B,notify,rudder_controller1_bus,rudder1,15,RequestService,rudder1#2,,SERVICE,
760,0.760,B,service,rudder_controller1_bus,rudder1,15,RequestService,rudder1#2,,SERVICE,,14,_valueCurrent=,-10.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=ACCELERATING,_isTerminating=false,isArrived=false
760,0.760,B,notify,rudder_bus1,rudder_controller1,15,RequestService,rudder_controller1#1,,SERVICE,
761,0.761,B,notify,rudder_controller1_bus,rudder1,16,RequestService,rudder1#2,,SERVICE,
761,0.761,B,service,rudder_controller1_bus,rudder1,16,RequestService,rudder1#2,,SERVICE,,15,_valueCurrent=,-12.0,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
761,0.761,B,notify,rudder_bus1,rudder_controller1,16,RequestService,rudder_controller1#1,,SERVICE,
762,0.762,B,notify,rudder_controller1_bus,rudder1,17,RequestService,rudder1#2,,SERVICE,
762,0.762,B,service,rudder_controller1_bus,rudder1,17,RequestService,rudder1#2,,SERVICE,,16,_valueCurrent=,-13.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
762,0.762,B,notify,rudder_bus1,rudder_controller1,17,RequestService,rudder_controller1#1,,SERVICE,
763,0.763,B,notify,rudder_controller1_bus,rudder1,18,RequestService,rudder1#2,,SERVICE,
763,0.763,B,service,rudder_controller1_bus,rudder1,18,RequestService,rudder1#2,,SERVICE,,17,_valueCurrent=,-15.0,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
763,0.763,B,notify,rudder_bus1,rudder_controller1,18,RequestService,rudder_controller1#1,,SERVICE,
764,0.764,B,notify,rudder_controller1_bus,rudder1,19,RequestService,rudder1#2,,SERVICE,
764,0.764,B,service,rudder_controller1_bus,rudder1,19,RequestService,rudder1#2,,SERVICE,,18,_valueCurrent=,-16.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
764,0.764,B,notify,rudder_bus1,rudder_controller1,19,RequestService,rudder_controller1#1,,SERVICE,
765,0.765,B,notify,rudder_controller1_bus,rudder1,20,RequestService,rudder1#2,,SERVICE,
765,0.765,B,service,rudder_controller1_bus,rudder1,20,RequestService,rudder1#2,,SERVICE,,19,_valueCurrent=,-18.0,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
765,0.765,B,notify,rudder_bus1,rudder_controller1,20,RequestService,rudder_controller1#1,,SERVICE,
766,0.766,B,notify,rudder_controller1_bus,rudder1,21,RequestService,rudder1#2,,SERVICE,
766,0.766,B,service,rudder_controller1_bus,rudder1,21,RequestService,rudder1#2,,SERVICE,,20,_valueCurrent=,-19.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
766,0.766,B,notify,rudder_bus1,rudder_controller1,21,RequestService,rudder_controller1#1,,SERVICE,
767,0.767,B,notify,rudder_controller1_bus,rudder1,22,RequestService,rudder1#2,,SERVICE,
